Target	Regulator	Condition	edge-type
HMGB1	SOD2	Differential	Undirected
HMGB1	GADD45B	Differential	Undirected
HMGB1	ACTG1	Differential	Undirected
HMGB1	CXCR4	Differential	Undirected
HMGB1	HMGA1	Differential	Undirected
HMGB1	GPCPD1	Differential	Undirected
HMGB1	SLC7A5	Differential	Undirected
CD44	LYST	Differential	Undirected
CD44	TGFB1	Differential	Undirected
CD44	HSPB1	Differential	Undirected
CD44	RALGAPA1	Differential	Undirected
CD44	CXCR3	Differential	Undirected
CD44	TXNIP	Differential	Undirected
CD44	GLUL	Differential	Undirected
CD44	DOK2	Differential	Undirected
CD44	CRIP1	Differential	Undirected
CD44	SOD2	Differential	Undirected
CD44	GADD45B	Differential	Undirected
CD44	ACTG1	Differential	Undirected
CD44	CXCR4	Differential	Undirected
CD44	HMGA1	Differential	Undirected
CD44	GPCPD1	Differential	Undirected
CD44	SLC7A5	Differential	Undirected
LYST	TGFB1	Differential	Undirected
LYST	HSPB1	Differential	Undirected
LYST	RALGAPA1	Differential	Undirected
LYST	CXCR3	Differential	Undirected
LYST	TXNIP	Differential	Undirected
LYST	GLUL	Differential	Undirected
LYST	DOK2	Differential	Undirected
LYST	CRIP1	Differential	Undirected
LYST	SOD2	Differential	Undirected
LYST	GADD45B	Differential	Undirected
LYST	ACTG1	Differential	Undirected
LYST	CXCR4	Differential	Undirected
LYST	HMGA1	Differential	Undirected
LYST	GPCPD1	Differential	Undirected
LYST	SLC7A5	Differential	Undirected
TGFB1	HSPB1	Differential	Undirected
TGFB1	RALGAPA1	Differential	Undirected
TGFB1	CXCR3	Differential	Undirected
TGFB1	TXNIP	Differential	Undirected
TGFB1	GLUL	Differential	Undirected
TGFB1	DOK2	Differential	Undirected
TGFB1	CRIP1	Differential	Undirected
TGFB1	SOD2	Differential	Undirected
TGFB1	GADD45B	Differential	Undirected
TGFB1	ACTG1	Differential	Undirected
TGFB1	CXCR4	Differential	Undirected
TGFB1	HMGA1	Differential	Undirected
TGFB1	GPCPD1	Differential	Undirected
TGFB1	SLC7A5	Differential	Undirected
HSPB1	RALGAPA1	Differential	Undirected
HSPB1	CXCR3	Differential	Undirected
HSPB1	TXNIP	Differential	Undirected
HSPB1	GLUL	Differential	Undirected
HSPB1	DOK2	Differential	Undirected
HSPB1	CRIP1	Differential	Undirected
HSPB1	SOD2	Differential	Undirected
HSPB1	GADD45B	Differential	Undirected
HSPB1	ACTG1	Differential	Undirected
HSPB1	CXCR4	Differential	Undirected
HSPB1	HMGA1	Differential	Undirected
HSPB1	GPCPD1	Differential	Undirected
HSPB1	SLC7A5	Differential	Undirected
RALGAPA1	CXCR3	Differential	Undirected
RALGAPA1	TXNIP	Differential	Undirected
RALGAPA1	GLUL	Differential	Undirected
RALGAPA1	DOK2	Differential	Undirected
RALGAPA1	CRIP1	Differential	Undirected
RALGAPA1	SOD2	Differential	Undirected
RALGAPA1	GADD45B	Differential	Undirected
RALGAPA1	ACTG1	Differential	Undirected
RALGAPA1	CXCR4	Differential	Undirected
RALGAPA1	HMGA1	Differential	Undirected
RALGAPA1	GPCPD1	Differential	Undirected
RALGAPA1	SLC7A5	Differential	Undirected
CXCR3	TXNIP	Differential	Undirected
CXCR3	GLUL	Differential	Undirected
CXCR3	DOK2	Differential	Undirected
CXCR3	CRIP1	Differential	Undirected
CXCR3	SOD2	Differential	Undirected
CXCR3	GADD45B	Differential	Undirected
CXCR3	ACTG1	Differential	Undirected
CXCR3	CXCR4	Differential	Undirected
CXCR3	HMGA1	Differential	Undirected
CXCR3	GPCPD1	Differential	Undirected
CXCR3	SLC7A5	Differential	Undirected
TXNIP	GLUL	Differential	Undirected
TXNIP	DOK2	Differential	Undirected
TXNIP	CRIP1	Differential	Undirected
TXNIP	SOD2	Differential	Undirected
TXNIP	GADD45B	Differential	Undirected
TXNIP	ACTG1	Differential	Undirected
TXNIP	CXCR4	Differential	Undirected
TXNIP	HMGA1	Differential	Undirected
TXNIP	GPCPD1	Differential	Undirected
TXNIP	SLC7A5	Differential	Undirected
GLUL	DOK2	Differential	Undirected
GLUL	CRIP1	Differential	Undirected
GLUL	SOD2	Differential	Undirected
GLUL	GADD45B	Differential	Undirected
GLUL	ACTG1	Differential	Undirected
GLUL	CXCR4	Differential	Undirected
GLUL	HMGA1	Differential	Undirected
GLUL	GPCPD1	Differential	Undirected
GLUL	SLC7A5	Differential	Undirected
DOK2	CRIP1	Differential	Undirected
DOK2	SOD2	Differential	Undirected
DOK2	GADD45B	Differential	Undirected
DOK2	ACTG1	Differential	Undirected
DOK2	CXCR4	Differential	Undirected
DOK2	HMGA1	Differential	Undirected
DOK2	GPCPD1	Differential	Undirected
DOK2	SLC7A5	Differential	Undirected
CRIP1	SOD2	Differential	Undirected
CRIP1	GADD45B	Differential	Undirected
CRIP1	ACTG1	Differential	Undirected
CRIP1	CXCR4	Differential	Undirected
CRIP1	HMGA1	Differential	Undirected
CRIP1	GPCPD1	Differential	Undirected
CRIP1	SLC7A5	Differential	Undirected
SOD2	GADD45B	Differential	Undirected
SOD2	ACTG1	Differential	Undirected
SOD2	CXCR4	Differential	Undirected
SOD2	HMGA1	Differential	Undirected
SOD2	GPCPD1	Differential	Undirected
SOD2	SLC7A5	Differential	Undirected
GADD45B	ACTG1	Differential	Undirected
GADD45B	CXCR4	Differential	Undirected
GADD45B	HMGA1	Differential	Undirected
GADD45B	GPCPD1	Differential	Undirected
GADD45B	SLC7A5	Differential	Undirected
ACTG1	CXCR4	Differential	Undirected
ACTG1	HMGA1	Differential	Undirected
ACTG1	GPCPD1	Differential	Undirected
ACTG1	SLC7A5	Differential	Undirected
CXCR4	HMGA1	Differential	Undirected
CXCR4	GPCPD1	Differential	Undirected
CXCR4	SLC7A5	Differential	Undirected
HMGA1	GPCPD1	Differential	Undirected
HMGA1	SLC7A5	Differential	Undirected
GPCPD1	SLC7A5	Differential	Undirected
